downtime_id,machine_id,downtime_start,downtime_end,downtime_reason,downtime_hours
1,3,2025-08-25T06:00:00,2025-08-25T09:57:36,Material Shortage,3.96
2,1,2025-08-26T17:00:00,2025-08-26T18:59:24,Mechanical Failure,1.99
3,2,2025-08-27T19:00:00,2025-08-27T20:01:48,Material Shortage,1.03
4,3,2025-08-27T08:00:00,2025-08-27T11:22:48,Mechanical Failure,3.38
5,4,2025-08-27T15:00:00,2025-08-27T16:49:48,Machine Adjustment,1.83
6,5,2025-08-28T19:00:00,2025-08-28T20:25:48,Electrical Issue,1.43
7,1,2025-08-29T10:00:00,2025-08-29T10:51:36,Mechanical Failure,0.86
8,3,2025-08-29T17:00:00,2025-08-29T17:54:36,Electrical Issue,0.91
9,1,2025-08-30T10:00:00,2025-08-30T10:42:36,Electrical Issue,0.71
10,1,2025-09-01T21:00:00,2025-09-01T23:28:48,Mechanical Failure,2.48
11,3,2025-09-01T16:00:00,2025-09-01T18:34:48,Mechanical Failure,2.58
12,3,2025-09-02T11:00:00,2025-09-02T11:40:48,Mechanical Failure,0.68
13,1,2025-09-03T17:00:00,2025-09-03T20:37:12,Electrical Issue,3.62
14,2,2025-09-03T19:00:00,2025-09-03T19:40:12,Mechanical Failure,0.67
15,3,2025-09-03T17:00:00,2025-09-03T18:43:12,Mechanical Failure,1.72
16,2,2025-09-05T12:00:00,2025-09-05T14:10:48,Machine Adjustment,2.18
17,4,2025-09-05T06:00:00,2025-09-05T07:00:00,Mechanical Failure,1.0
18,1,2025-09-06T20:00:00,2025-09-06T22:49:12,Mechanical Failure,2.82
19,4,2025-09-08T17:00:00,2025-09-08T18:31:48,Calibration,1.53
20,3,2025-09-10T07:00:00,2025-09-10T09:18:36,Mechanical Failure,2.31
21,4,2025-09-10T17:00:00,2025-09-10T20:40:12,Mechanical Failure,3.67
22,1,2025-09-13T13:00:00,2025-09-13T15:41:24,Testing Error,2.69
23,3,2025-09-15T10:00:00,2025-09-15T12:12:36,Mechanical Failure,2.21
24,5,2025-09-15T14:00:00,2025-09-15T15:27:36,Mechanical Failure,1.46
25,3,2025-09-16T07:00:00,2025-09-16T08:49:12,Mechanical Failure,1.82
26,4,2025-09-17T19:00:00,2025-09-17T22:04:12,Calibration,3.07
27,5,2025-09-17T06:00:00,2025-09-17T08:30:36,Material Shortage,2.51
28,3,2025-09-18T08:00:00,2025-09-18T08:40:12,Mechanical Failure,0.67
29,4,2025-09-18T21:00:00,2025-09-18T21:31:48,Testing Error,0.53
30,3,2025-09-21T12:00:00,2025-09-21T13:58:48,Mechanical Failure,1.98
31,2,2025-09-22T07:00:00,2025-09-22T09:56:24,Machine Adjustment,2.94
